Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"The-Science-of-Cyber-Risk.pptx","2025-10-09 18:06:32 WAT","0000-00-00 00:00:00","2025-10-17 00:00:00 WAT","2025-10-17 17:16:30 WAT",25411149,Unallocated,Unallocated,unknown,"/img_D:/The-Science-of-Cyber-Risk.pptx",,,,pptx
_NTROD~1.PDF,"2025-08-28 12:39:22 WAT","0000-00-00 00:00:00","2025-10-11 00:00:00 WAT","2025-10-11 14:39:17 WAT",1874629,Unallocated,Unallocated,unknown,/img_D:/_NTROD~1.PDF,,,,pdf
"~$Group 1 DCS 716 Presentation (2).pptx","2025-10-17 14:58:12 WAT","0000-00-00 00:00:00","2025-10-17 00:00:00 WAT","2025-10-17 14:58:11 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$Group 1 DCS 716 Presentation (2).pptx",,,,pptx
"Group 1 DCS 716 Presentation (2).pptx","2025-10-17 14:58:14 WAT","0000-00-00 00:00:00","2025-10-17 00:00:00 WAT","2025-10-17 14:58:11 WAT",177445,Unallocated,Unallocated,unknown,"/img_D:/Group 1 DCS 716 Presentation (2).pptx",,,,pptx
"AMZ NEW REC.x","2024-05-17 15:46:12 WAT","0000-00-00 00:00:00","2024-10-06 00:00:00 WAT","2024-05-17 14:56:10 WAT",14832,Unallocated,Unallocated,unknown,"/img_D:/AMZ NEW REC.x",,,,x
"~$aishaaaa.xlsx","2024-04-04 08:54:06 WAT","0000-00-00 00:00:00","2024-04-04 00:00:00 WAT","2024-04-04 08:54:04 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$aishaaaa.xlsx",,,,xlsx
"~$NEW REC.xlsx","2024-05-20 08:44:56 WAT","0000-00-00 00:00:00","2024-05-20 00:00:00 WAT","2024-05-20 08:44:55 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$NEW REC.xlsx",,,,xlsx
_B27454E.tmp,"2024-04-05 12:51:20 WAT","0000-00-00 00:00:00","2024-04-08 00:00:00 WAT","2024-03-18 10:50:43 WAT",41039,Unallocated,Unallocated,unknown,/img_D:/_B27454E.tmp,,,,tmp
"~$FEB 2024 STATISTICS.xlsx","2024-02-19 15:25:30 WAT","0000-00-00 00:00:00","2024-02-19 00:00:00 WAT","2024-02-19 15:25:28 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$FEB 2024 STATISTICS.xlsx",,,,xlsx
"NEW REC.xlsx","2024-06-10 14:45:52 WAT","0000-00-00 00:00:00","2024-09-28 00:00:00 WAT","2024-05-20 08:44:55 WAT",33224,Unallocated,Unallocated,unknown,"/img_D:/NEW REC.xlsx",,,,xlsx
_MMAIM~1.XLS,"2024-03-18 11:12:10 WAT","0000-00-00 00:00:00","2024-04-19 00:00:00 WAT","2024-03-18 11:15:23 WAT",41542,Unallocated,Unallocated,unknown,/img_D:/_MMAIM~1.XLS,,,,xls
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-18 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"HADIZA CR-NEW.xlsx","2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-24 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,"/img_D:/__/HADIZA CR-NEW.xlsx",,,,xlsx
_RIVEMGR.EXE,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-24 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/_RIVEMGR.EXE,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"~$ahmed26.xlsx","2023-10-28 02:19:44 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-10-28 02:19:39 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/__/~$ahmed26.xlsx",,,,xlsx
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"~$alhassansa.xlsx","2023-10-28 02:20:32 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-10-28 02:20:19 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/__/~$alhassansa.xlsx",,,,xlsx
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"~$alhassansa.xlsx","2023-10-28 02:20:42 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-10-28 02:20:19 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/__/~$alhassansa.xlsx",,,,xlsx
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"~$alhassansa.xlsx","2023-10-28 02:23:18 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-10-28 02:23:11 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/__/~$alhassansa.xlsx",,,,xlsx
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-05-26 16:03:20 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",109288,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
DriveMgr.exe,"2021-04-26 13:55:08 WAT","0000-00-00 00:00:00","2023-10-28 00:00:00 WAT","2023-09-28 13:45:16 WAT",105937,Unallocated,Unallocated,unknown,/img_D:/__/DriveMgr.exe,,,,exe
"~$NEW RECORD.xlsx","2024-04-19 15:59:06 WAT","0000-00-00 00:00:00","2024-04-19 00:00:00 WAT","2024-04-19 15:59:04 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$NEW RECORD.xlsx",,,,xlsx
"~$VIP.xlsx","2024-02-22 15:47:50 WAT","0000-00-00 00:00:00","2024-02-22 00:00:00 WAT","2024-02-22 15:47:48 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$VIP.xlsx",,,,xlsx
AISHAAA.xlsx,"2024-03-08 14:52:04 WAT","0000-00-00 00:00:00","2024-03-11 00:00:00 WAT","2024-03-08 14:55:31 WAT",17339,Unallocated,Unallocated,unknown,/img_D:/AISHAAA.xlsx,,,,xlsx
"~$STATE OFFICE 22-02-2024(3) OYO.xlsx","2024-02-22 15:52:54 WAT","0000-00-00 00:00:00","2024-02-22 00:00:00 WAT","2024-02-22 15:52:53 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$STATE OFFICE 22-02-2024(3) OYO.xlsx",,,,xlsx
"Biometrics Annual_work_plan2024.xlsx","2024-06-10 13:27:32 WAT","0000-00-00 00:00:00","2024-10-06 00:00:00 WAT","2024-06-10 15:43:55 WAT",11498,Unallocated,Unallocated,unknown,"/img_D:/Biometrics Annual_work_plan2024.xlsx",,,,xlsx
"~$Biometrics Annual_work_plan2024.xlsx","2024-06-10 15:40:18 WAT","0000-00-00 00:00:00","2024-06-10 00:00:00 WAT","2024-06-10 15:40:17 WAT",165,Unallocated,Unallocated,unknown,"/img_D:/~$Biometrics Annual_work_plan2024.xlsx",,,,xlsx
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-10-17 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:01:40 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:03:11 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-24 02:05:44 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:23 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2020-07-24 02:03:14 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:24 WAT",81920,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-07-24 02:04:58 WAT","0000-00-00 00:00:00","2023-09-29 00:00:00 WAT","2023-09-29 14:04:24 WAT",166411,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
AvastAuth.dat,"2020-03-19 19:12:10 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",164363,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/AvastAuth.dat",,,,dat
CEFHelper.exe,"2020-07-22 18:05:44 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",61648,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/CEFHelper.exe",,,,exe
_sc.dll,"2023-11-17 10:27:32 WAT","0000-00-00 00:00:00","2025-08-01 00:00:00 WAT","2025-08-01 15:20:11 WAT",53248,Unallocated,Unallocated,unknown,"/img_D:/RECYCLER.BIN/1/_sc.dll",,,,dll
